행 레이블,평균 : 당월_매출_금액,평균 : 총_유동인구_수,평균 : 월_평균_소득_금액,평균 : 지출_총금액,상권_변화_지표
1000484,859886305,5310565.917,3241804,10062639082,LL
1000485,1028422205,2816283.167,3542975,4515993663,LL
1000486,223395249,3707342.833,4357188,6897081411,HH
1000487,612744622.2,4040213.167,4349956,4774736552,LH
1000488,1229528058,5750860.333,3968764,6109818730,LL
1000489,263240744.4,4168716.917,3580278,5273963472,HH
1000490,506880094.6,4354645.25,3747088,3933116398,HH
1000491,1311271212,4833060.583,4425284,5296781834,LL
1000492,1214699028,4127252.583,3636428,8224400117,LL
1000493,1299107537,2997511,3874859,5005751520,LL
1000494,1324033735,3439955.667,3370708,4784053829,LL
1000495,979785846.4,3896764.917,3307984,4375968469,LL
1000496,1111928593,3323992.667,4222606,5656190292,LL
1000497,974996924.5,5914943,3350714,8614785465,LL
